game,achievement,description,achieved,unlocktime
Counter-Strike: Source,Blind Fury,Kill an enemy player while you are blinded from a flashbang,False,null
Counter-Strike: Source,Friendly Firearms,Kill 100 enemy players with enemy weapons,False,null
Counter-Strike: Source,Expert Marksman,Get a kill with every weapon,False,null
Counter-Strike: Source,Shrapnelproof,Take 80 points of damage from enemy grenades and still survive the round,False,null
Counter-Strike: Source,Make the Cut,Win a knife fight,False,null
Counter-Strike: Source,The Bleeding Edge,Win 100 knife fights,False,null
Counter-Strike: Source,Defuse This!,Kill the defuser with an HE grenade,False,null
Counter-Strike: Source,Safety First,Survive a shot to the head because you had the good sense to wear a helmet,False,null
Counter-Strike: Source,Hip Shot,Kill an enemy with an un-zoomed sniper rifle,False,null
Counter-Strike: Source,Eye to Eye,Kill a zoomed-in enemy sniper with a sniper rifle of your own,False,null
Counter-Strike: Source,Sknifed,Kill a zoomed-in enemy sniper with a knife,False,null
Counter-Strike: Source,Snipe Hunter,Kill 100 zoomed-in enemy snipers,False,null
Counter-Strike: Source,Dead Man Stalking,Kill an enemy while at 1 health,False,null
Counter-Strike: Source,Three the Hard Way,Kill 3 enemy players with a single HE grenade,False,null
Counter-Strike: Source,Street Fighter,Kill an enemy player with a knife during the pistol round,False,null
Counter-Strike: Source,Blitzkrieg,Win a round in less than 30 seconds (against at least 5 enemy players),False,null
Counter-Strike: Source,Piece Initiative,Win 5 Pistol Rounds,False,null
Counter-Strike: Source,Give Piece a Chance,Win 25 Pistol Rounds,False,null
Counter-Strike: Source,Piece Treaty,Win 250 Pistol Rounds,False,null
Counter-Strike: Source,Clusterstruck,Kill 5 players in a C4 blast,False,null
Counter-Strike: Source,Wild Gooseman Chase,"As the last living terrorist, distract a defuser long enough for the bomb to explode",False,null
Counter-Strike: Source,Blast Will and Testament,Win a round by picking up the bomb from a fallen comrade and successfully planting it,False,null
Counter-Strike: Source,Target-Hardened,Survive damage from 5 different players within a round,False,null
Counter-Strike: Source,Mercy Rule,Kill the entire opposing team without any members of your team dying,False,null
Counter-Strike: Source,Clean Sweep,Kill the entire opposing team without any members of your team taking any damage,False,null
Counter-Strike: Source,Mad Props,Break 15 props in a single round,False,null
Counter-Strike: Source,Akimbo King,Use Dual Elites to kill an enemy player that also has Dual Elites equipped,False,null
Counter-Strike: Source,The Art of War,Spray 100 decals,False,null
Counter-Strike: Source,Dead of Night,"Do 5,000 damage with nightvision active",False,null
Counter-Strike: Source,The Unstoppable Force,Kill 10 enemy players in a single round,False,null
Counter-Strike: Source,The Immovable Object,Kill an enemy player who has just killed 10 of your teammates in a single round,False,null
Counter-Strike: Source,Head Shred Redemption,Kill 5 enemy players with headshots in a single round,False,null
Counter-Strike: Source,Assault Map Veteran,Win 100 rounds on the CS_Assault map,False,null
Counter-Strike: Source,Compound Map Veteran,Win 100 rounds on the CS_Compound map,False,null
Counter-Strike: Source,Havana Map Veteran,Win 100 rounds on the CS_Havana map,False,null
Counter-Strike: Source,Italy Map Veteran,Win 100 rounds on the CS_Italy map,False,null
Counter-Strike: Source,Militia Map Veteran,Win 100 rounds on the CS_Militia map,False,null
Counter-Strike: Source,Office Map Veteran,Win 100 rounds on the CS_Office map,False,null
Counter-Strike: Source,Aztec Map Veteran,Win 100 rounds on the DE_Aztec map,False,null
Counter-Strike: Source,Cobblestone Map Veteran,Win 100 rounds on the DE_Cbble map,False,null
Counter-Strike: Source,Chateau Map Veteran,Win 100 rounds on the DE_Chateau map,False,null
Counter-Strike: Source,Dust Map Veteran,Win 100 rounds on the DE_Dust map,False,null
Counter-Strike: Source,Dust2 Map Veteran,Win 100 rounds on the DE_Dust2 map,False,null
Counter-Strike: Source,Inferno Map Veteran,Win 100 rounds on the DE_Inferno map,False,null
Counter-Strike: Source,Nuke Map Veteran,Win 100 rounds on the DE_Nuke map,False,null
Counter-Strike: Source,Piranesi Map Veteran,Win 100 rounds on the DE_Piranesi map,False,null
Counter-Strike: Source,Port Map Veteran,Win 100 rounds on the DE_Port map,False,null
Counter-Strike: Source,Prodigy Map Veteran,Win 100 rounds on the DE_Prodigy map,False,null
Counter-Strike: Source,Tides Map Veteran,Win 100 rounds on the DE_Tides map,False,null
Counter-Strike: Source,Train Map Veteran,Win 100 rounds on the DE_Train map,False,null
Counter-Strike: Source,Death From Above,Kill an enemy player while you are airborne,False,null
Counter-Strike: Source,Bunny Hunt,Kill an airborne enemy,False,null
Counter-Strike: Source,Aerial Necrobatics,Kill an airborne enemy while you are also airborne,False,null
Counter-Strike: Source,Black Bag Operation,Win a round while making no footstep noise and killing at least one enemy,False,null
Counter-Strike: Source,Cold War,Win a round without your team killing any enemy players,False,null
Counter-Strike: Source,Killanthropist,Donate 100 weapons to your teammates,False,null
Counter-Strike: Source,The Frugal Beret,Win 10 rounds without dying and not spending any cash,False,null
Counter-Strike: Source,Defusus Interruptus,Stop defusing to kill a terrorist and then successfully finish defusing the bomb,False,null
Counter-Strike: Source,Participation Award,Kill an enemy player within 3 seconds of them recovering a dropped bomb,False,null
Counter-Strike: Source,Repeat Offender,Dominate an enemy player,False,null
Counter-Strike: Source,Decimator,Dominate a total of 10 enemy players,False,null
Counter-Strike: Source,Overkill,Kill an opponent you are already dominating,False,null
Counter-Strike: Source,Command and Control,Get a total of 100 kills on enemy players you are dominating,False,null
Counter-Strike: Source,Insurgent,Kill an enemy player that is dominating you,False,null
Counter-Strike: Source,Can't Keep a Good Man Down,Kill a total of 20 enemy players that are dominating you,False,null
Counter-Strike: Source,Dressed to Kill,Start a round with all players on your team wearing the same uniform (at least 5 players),False,null
Counter-Strike: Source,Hat Trick,Dominate three enemy players simultaneously,False,null
Counter-Strike: Source,Ten Angry Men,Get 10 kills on enemy players you are already dominating during a single match,False,null
Counter-Strike: Source,Excessive Brutality,Kill an enemy player 4 additional times while you are dominating them,False,null
Counter-Strike: Source,Spray and Pray,Kill two enemy players while you are blinded from a flashbang,False,null
Counter-Strike: Source,Friendly Attire,"Start a round on the same team as 4 of your friends, with all of you wearing the same outfit",False,null
Counter-Strike: Source,The Road to Hell,Blind an enemy player who then kills a teammate,False,null
Counter-Strike: Source,Avenging Angel,Kill an enemy player in the same round as they kill a player on your friends list,False,null
Counter-Strike: Source,Clan Warfare,Win a match of at least 10 players where the entirety of each team is composed of a single clan.,False,null
Counter-Strike: Source,Happy Camper,Get two kills standing in the same spot with a zoomed sniper rifle.,False,null
Counter-Strike: Source,Gift Grab,Collect three gifts dropped by opponents.,False,null
Garry's Mod,Play Singleplayer,Play singleplayer at least once,False,null
Garry's Mod,Play Multiplayer,Play multiplayer at least once,True,2019-08-22 18:05:01
Garry's Mod,Startup Millenium,Start Garry's Mod 1000 times,False,null
Garry's Mod,Secret Phrase,Say the secret phrase,False,null
Garry's Mod,Addict,You have wasted a year of your life playing GMod!,False,null
Garry's Mod,Map Loader,Play 20 different maps,True,2022-12-06 17:15:55
Garry's Mod,Play Around,Play a gamemode that isn't sandbox,True,2019-08-22 18:02:05
Garry's Mod,War Zone,Killed 1000 Baddies,False,null
Garry's Mod,Friendly,Play with 10 friends,False,null
Garry's Mod,"Yes, I am the real garry!",Play on the same server as garry,False,null
Garry's Mod,Marathon,Play on the same server & map for 8 hours,False,null
Garry's Mod,Half Marathon,Play on the same server & map for 4 hours,False,null
Garry's Mod,One Day,24 hours of your life wasted,False,null
Garry's Mod,One Week,One whole week of your life wasted,False,null
Garry's Mod,One Month,One whole month of your life wasted,False,null
Garry's Mod,Innocent Bystander,Kill 1000 innocent animals,False,null
Garry's Mod,Ball Eater,Eat 200 balls,False,null
Garry's Mod,Creator,Spawn 5000 props,False,null
Garry's Mod,Popper,Burst 1000 balloons,False,null
Garry's Mod,Destroyer,Remove 5000 things,False,null
Garry's Mod,Menu User,"Open the spawnmenu 100,000 times",False,null
Garry's Mod,Bad Coder,Experience 500 Lua programming errors,True,2020-03-21 16:15:48
Garry's Mod,Procreator,Spawn 1000 NPCs,False,null
Garry's Mod,Dollhouse,Spawn 2000 ragdolls,False,null
Garry's Mod,Bad Friend,Kill 1000 friendly NPCs,False,null
Garry's Mod,10 Thumbs,Your Workshop uploads got 10 thumbs,False,null
Garry's Mod,100 Thumbs,Your workshop uploads got 100 thumbs,False,null
Garry's Mod,1000 Thumbs,Your Workshop uploads got 1000 thumbs,False,null
Garry's Mod,Mega Upload,Get 1000 thumbs on a single upload (then go to jail),False,null
Portal,Lab Rat,Acquire the fully powered Aperture Science Handheld Portal Device.,True,2021-11-14 21:37:32
Portal,Fratricide,Do whatever it takes to survive.,True,2021-11-14 22:04:42
Portal,Partygoer,Make the correct party escort submission position decision.,True,2021-11-14 22:27:31
Portal,Heartbreaker,Complete Portal.,True,2021-11-16 12:49:58
Portal,Terminal Velocity,"Fall 30,000 feet.",False,null
Portal,Long Jump,Jump 300 feet.,False,null
Portal,Cupcake,Beat two Portal advanced maps.,False,null
Portal,Fruitcake,Beat four Portal advanced maps.,False,null
Portal,Vanilla Crazy Cake,Beat all six Portal advanced maps.,False,null
Portal,Basic Science,Earn bronze medals on all Portal challenges.,False,null
Portal,Rocket Science,Earn silver medals on all Portal challenges.,False,null
Portal,Aperture Science,Earn gold medals on all Portal challenges.,False,null
Portal,Camera Shy,Detach security cameras from the walls.,False,null
Portal,Friendly Fire,Knock down a turret with another turret.,True,2021-11-14 21:55:46
Portal,Transmission Received,..?,False,null
Left 4 Dead,DEAD STOP,Punch a Hunter as he is pouncing.,False,null
Left 4 Dead,DRAG AND DROP,Rescue a Survivor from a Smoker's tongue before he takes damage.,False,null
Left 4 Dead,CR0WND,Kill a Witch with a single headshot.,False,null
Left 4 Dead,UNTOUCHABLES,No Survivors take damage after contacting the rescue vehicle.,False,null
Left 4 Dead,BLIND LUCK,You or another Survivor take no damage after being vomited on by a Boomer.,False,null
Left 4 Dead,MY BODYGUARD,Protect any Survivor from an attacking Infected 50 times.,False,null
Left 4 Dead,AKIMBO ASSASSIN,Survive an entire campaign using only pistols.,False,null
Left 4 Dead,FIELD MEDIC,Heal 25 Survivors with a first aid kit.,False,null
Left 4 Dead,PHARM-ASSIST,Give pain pills to 10 Survivors.,False,null
Left 4 Dead,HELPING HAND,Revive 50 incapacitated Survivors.,False,null
Left 4 Dead,HERO CLOSET,Rescue a Survivor trapped in a closet.,False,null
Left 4 Dead,HUNTER PUNTER,Shove a Hunter off of a pinned and helpless Survivor.,False,null
Left 4 Dead,TONGUE TWISTER,Kill a Smoker who has grabbed you with his tongue.,False,null
Left 4 Dead,NO SMOKING SECTION,Kill 10 Smokers as they are pulling helpless Survivors.,False,null
Left 4 Dead,101 CREMATIONS,Set 101 Infected on fire.,False,null
Left 4 Dead,DO NOT DISTURB,Sneak past all Witches in a campaign without disturbing one.,False,null
Left 4 Dead,MAN VS TANK,Single-handedly kill a Tank.,False,null
Left 4 Dead,TANKBUSTERS,Kill a Tank without it dealing any damage to a Survivor.,False,null
Left 4 Dead,SAFETY FIRST,Play an entire campaign with no Survivors taking friendly fire damage.,False,null
Left 4 Dead,NO-ONE LEFT BEHIND,Beat a campaign with all 4 Survivors.,False,null
Left 4 Dead,UNBREAKABLE,Finish a campaign without ever using a first aid kit on yourself.,False,null
Left 4 Dead,WITCH HUNTER,Kill a Witch without any Survivor taking damage from her.,False,null
Left 4 Dead,RED MIST,Kill 1000 Infected with a mounted machine gun.,False,null
Left 4 Dead,PYROTECHNICIAN,Blow up 20 Infected in a single explosion.,False,null
Left 4 Dead,ZOMBIE GENOCIDEST,"Kill 53,595 Infected.",False,null
Left 4 Dead,DEAD GIVEAWAY,Heal a fellow Survivor when your own health is below 10.,False,null
Left 4 Dead,GROUND COVER,Save another Survivor from a Special Infected while on the ground.,False,null
Left 4 Dead,CLEAN KILL,Shove a Boomer and then kill him without him splashing on anyone.,False,null
Left 4 Dead,STAND TALL,Survive a campaign without being incapacitated.,False,null
